1. Name or Nickname;3. Hero;4. Decklist;5. Deck Description  ;6. Cards;
Viko;Afanas & Senka;https://www.altered.gg/decks/01KQ515FND3DZ5EGENY7BE4QCM;An easy to pilot, pleasant Afanas recipe where you do what you do best : lots of spell slinging, and lots of little guys to carry the boosts. ;"1 ALT_CORE_B_YZ_03_C
2 ALT_ALIZE_B_YZ_42_C
1 ALT_COREKS_B_YZ_24_C
3 ALT_ALIZE_B_YZ_41_C
2 ALT_COREKS_B_YZ_23_C
3 ALT_DUSTER_B_YZ_86_C
3 ALT_DUSTER_B_YZ_97_R1
3 ALT_COREKS_B_YZ_07_R1
3 ALT_COREKS_B_YZ_21_C
3 ALT_CYCLONE_B_YZ_66_C
3 ALT_COREKS_B_BR_25_R2
2 ALT_COREKS_B_MU_06_R2
3 ALT_COREKS_B_YZ_19_C
2 ALT_COREKS_B_BR_16_R2
2 ALT_COREKS_B_MU_08_R2
3 ALT_COREKS_B_YZ_22_C
1 ALT_COREKS_B_YZ_14_C";
CoraSan;Akesha & Taru;https://www.altered.gg/decks/01KQ5GM97XFWG59DZKDFQ3H1D7;"This deck shows the core mechanics of Akesha, a mage control archetype.
The main objective is to maintain equality in early game progress to finish with a strong end. To succeed, players need to benefit the spells with cost reduction and bounce mechanic. Control your enemies and finish the game with strong combos !";"1 ALT_CORE_B_YZ_01_C
3 ALT_CORE_B_YZ_21_C
3 ALT_CORE_B_YZ_19_C
2 ALT_CORE_B_MU_28_R2
2 ALT_CORE_B_YZ_14_C
2 ALT_BISE_B_YZ_52_C
2 ALT_BISE_B_YZ_56_R1
2 ALT_CORE_B_YZ_06_C
3 ALT_CORE_B_YZ_04_C
2 ALT_ALIZE_B_LY_39_R2
2 ALT_ALIZE_B_YZ_42_C
3 ALT_CORE_B_LY_07_R2
2 ALT_CYCLONE_B_YZ_72_C
3 ALT_CORE_B_YZ_13_R1
2 ALT_CYCLONE_B_YZ_69_C
3 ALT_CORE_B_YZ_11_R1
2 ALT_CORE_B_YZ_12_C
1 ALT_COREKS_B_YZ_06_C";
Mason Ulves;Arjun & Spike;https://www.altered.gg/en-us/decks/01KQ38H1SWBRHRHESEXG0859YD;"This deck is built around the Anchored mechanic, using Arjun’s ability and various discard effects to turn the Reserve into an active resource rather than just a second hand.

The goal is to introduce new players to alternative ways of generating value, showing that cards can be used not only by playing them, but also through discard and Reserve interactions. The inclusion of Resupply further reinforces this loop, creating a simple and repeatable engine that is easy to understand.

The deck maintains a clear and consistent game plan: establish board presence while gaining incremental advantage through Anchored triggers. Card choices focus on readability and synergy, avoiding overly complex interactions.

As a starter deck, it highlights Arjun’s unique identity while remaining approachable, helping players learn both core mechanics and more advanced concepts like Reserve management in a natural way.";"1 ALT_CORE_B_MU_02_C
2 ALT_COREKS_B_MU_23_R1
3 ALT_COREKS_B_MU_16_C
2 ALT_COREKS_B_MU_12_R1
1 ALT_COREKS_B_MU_08_C
3 ALT_COREKS_B_MU_06_C
2 ALT_COREKS_B_MU_13_C
3 ALT_CORE_B_MU_11_R1
3 ALT_COREKS_B_MU_04_C
3 ALT_BISE_B_MU_58_C
3 ALT_BISE_B_MU_52_R1
2 ALT_ALIZE_B_MU_31_R1
2 ALT_COREKS_B_MU_29_C
2 ALT_COREKS_B_MU_28_C
2 ALT_COREKS_B_MU_25_C
2 ALT_ALIZE_B_MU_42_C
2 ALT_ALIZE_B_MU_44_C
2 ALT_COREKS_B_MU_08_R1";
Marc - The Bravos Hatter;Atsadi & Surge;https://www.altered.gg/en-us/decks/01KQAMZF5B1SCH2F0ZDGND7W8D;"For me Atsadi is all about ramping into big giant characters. That is what this deck is about. Small low to the ground ramp cards, followed by big gigantic monsters. To make sure you dont screw yourself with only big cards, i run reunion to draw a lot of cards. 

Early game:
Play cards to ramp: scout in a swift jinn, or play ramp cards like mana channeling, bravos signet or mighty jinn.
Draw cards with Spotter, reunion and your hero power.

Mid game:
Stable yourself with energy bar combos with Sakarabru (put your opponent back on both expeditions) or with big Lernean Hydra. 

End game:
Finish things of with Kaibara, Hunger (gigantic due milk) or Halua, all protected by Kauri's intervention and buffed by Bravos signet.";"1 ALT_CORE_B_BR_02_C
3 ALT_BISE_B_YZ_56_R2
2 ALT_ALIZE_B_BR_45_C
3 ALT_COREKS_B_BR_19_C
3 ALT_BISE_B_BR_57_C
3 ALT_CYCLONE_B_BR_79_C
3 ALT_CYCLONE_B_MU_75_R2
1 ALT_COREKS_B_BR_27_C
3 ALT_BISE_B_LY_58_R2
3 ALT_COREKS_B_YZ_18_R2
2 ALT_BISE_B_BR_59_C
1 ALT_COREKS_B_BR_24_R1
3 ALT_CYCLONE_B_BR_69_C
3 ALT_ALIZE_B_BR_43_C
2 ALT_BISE_B_BR_52_C
2 ALT_CYCLONE_B_BR_77_C
2 ALT_COREKS_B_BR_27_R1";
The_Vary;Auraq & Kibble;https://www.altered.gg/en-us/decks/01KQ9FZ4XC7HBP6R9D2A69XF5J;Auraq is not the strongest but one of the most funny hero to play. His power is like Heaven or Hell, and that's what i want to do with this starter deck proposal: a deck that aims to trigger the hero power at least 2 times in a game easily to see how it works and to feel the thrill of flipping some big drops for free. Of course you could always top deck a 1 mana body, but that's how Auraq is :) I thought about putting common Nuit in this deck but in the end i gave that up because I think that Nuit plays requires some knowlege of the game, of the cards in deck and some setup. Instead i went for a more aggro / draw strategy, put some cheap removals (break the ice is the best removal in game if played in Auraq) and some winter outfits to help deal with the 0 play that can be hard for a new player.;"1 ALT_CORE_B_LY_02_C
3 ALT_CORE_B_MU_22_R2
3 ALT_CORE_B_LY_27_C
3 ALT_ALIZE_B_BR_34_R2
3 ALT_BISE_B_LY_49_C
2 ALT_CYCLONE_B_BR_81_R2
3 ALT_CORE_B_LY_09_C
3 ALT_CORE_B_LY_06_C
3 ALT_ALIZE_B_LY_42_C
2 ALT_DUSTER_B_LY_86_R1
2 ALT_ALIZE_B_LY_43_C
2 ALT_BISE_B_LY_53_R1
2 ALT_CYCLONE_B_LY_68_C
3 ALT_DUSTER_B_LY_88_C
2 ALT_CORE_B_LY_24_C
3 ALT_BISE_B_BR_59_R2";
Joli rouge gorge ;Basira & Kaizaimon;https://www.altered.gg/decks/01KQVWHQCTN1T8YDBK305BA5ER;This Basira list focuses on removing fleeting from characters with different pay offs and effect, either #drawing, ramping or just keeping the seasoned characters going to reserve to create value and threats.;"1 ALT_CORE_B_BR_03_C
2 ALT_DUSTER_B_BR_86_C
1 ALT_DUSTER_B_BR_102_C
3 ALT_CYCLONE_B_MU_70_R2
3 ALT_CYCLONE_B_YZ_70_R2
3 ALT_BISE_B_BR_52_C
2 ALT_BISE_B_BR_61_C
1 ALT_BISE_B_YZ_56_R2
3 ALT_ALIZE_B_BR_32_C
2 ALT_CORE_B_BR_16_C
3 ALT_CORE_B_BR_11_C
3 ALT_CORE_B_BR_10_C
2 ALT_CORE_B_BR_14_R1
3 ALT_CORE_B_BR_19_R1
3 ALT_CORE_B_BR_25_C
2 ALT_CORE_A_BR_26_R1
1 ALT_CORE_B_LY_06_R2
2 ALT_CORE_B_BR_29_C";
Eldritch Madcap;Della & Bolt;https://www.altered.gg/en-us/decks/01KQ5KHNP877CG1YW1SZATY3SX;"Della Exhaust 

The deck works extensively on the reserve, with a focus on exhausted characters and landmarks, leveraging the core ability of Della&Bolt (and  other cards) to ready exhausted cards. The exhaust mechanic in this deck also creates useful sinergies such as gaining boosts, reducing mana costs and drawing cards. ( with permanents such as Axiom Exhibit, Science Fair and The Nilam). The deck can be useful to get more confident with the reserve related mechanics typical of Axiom and the sinergies coming from multiple exhaust/ready actions that can occur during a turn.
Strategy does not require ramping mana fast but focus on drawing cards, expecially in reserve to activate the many ""play from reserve"" abilities of the deck. 
";"1 ALT_DUSTER_B_AX_85_C
2 ALT_DUSTER_B_AX_87_R1
3 ALT_ALIZE_B_AX_32_C
3 ALT_DUSTER_B_AX_89_R1
3 ALT_DUSTER_B_AX_94_C
2 ALT_DUSTER_B_AX_86_C
3 ALT_DUSTER_B_AX_93_C
3 ALT_ALIZE_B_AX_37_C
3 ALT_DUSTER_B_AX_92_C
3 ALT_DUSTER_B_AX_95_E
1 ALT_BISE_B_AX_59_C
1 ALT_ALIZE_B_YZ_43_R2
3 ALT_DUSTER_B_AX_101_R1
2 ALT_DUSTER_B_AX_100_R1
2 ALT_ALIZE_B_YZ_45_R2
3 ALT_CORE_B_AX_07_C
2 ALT_DUSTER_B_AX_97_R1";
Tricen;Fen & Crowbar;https://www.altered.gg/decks/01KQX87TWXD2E1KVTTW9D4QHTG;"Fen is fun with cards that build, and build off of, the reserve. This deck takes some of the early set evergreen Fen cards and adds in cards from the other sets to support the reserve build and play. The goal is to be fun and show off interactions from multiple sets. No card costs more than 3 mana, so you have to set up to let the characters punch above their weight class.

Some key aspects:

Build Your Reserve - Anansi is included as the classic Fen card that builds off your reserve. But this setup gets even better with Lyra Contortionist and Tech Lab Unit to build to a larger max reserve. Lyra Signet gives you the opportunity to turn any character into Anansi with its boost option. 

Manage & Boost Your Reserve - Bliss Bassist, Doppelganger, and Soul Encounter let you keep boosts or boost characters in reserve, letting them come out stronger. Ouroboros Inkcaster lets you get key cards back into your hand. This is good for a noon Fen Resupply you'd rather have in hand.

Boost Your Characters - Soul Encounter, Lyra Signet, Winter Outfits, and Eat Me Energy Bars help boost stats out in your expeditions.

Defense - You may not have some of the biggest characters, so remove some of your opponent's with Cloth Cocoon, Requiem, Tanuki, and Sea Nymph. A Capella Training and Lyra Signet also help get rid of characters early by giving fleeting. Early A Capella Training, even day 1 if you are 2nd player can help disrupt your opponent early. Sap Duende is there to grab some late game boosts from an opponent's big character - especially fun to snag back boosts after someone drops The Hunger on your perfectly curated reserve.";"1 ALT_CORE_B_LY_03_C
2 ALT_CYCLONE_B_BR_81_R2
2 ALT_BISE_B_MU_60_R2
3 ALT_BISE_B_AX_61_R2
2 ALT_CORE_B_LY_22_C
3 ALT_BISE_B_LY_51_C
3 ALT_CORE_B_LY_13_C
2 ALT_CYCLONE_B_LY_68_C
2 ALT_CYCLONE_B_LY_67_C
2 ALT_CORE_B_LY_24_C
2 ALT_ALIZE_B_LY_43_C
2 ALT_DUSTER_B_MU_98_R2
2 ALT_CORE_B_LY_09_C
2 ALT_CYCLONE_B_OR_73_R2
2 ALT_CYCLONE_B_LY_78_R1
3 ALT_BISE_B_LY_49_C
1 ALT_BISE_B_LY_61_R1
1 ALT_ALIZE_B_BR_45_R2
3 ALT_CORE_B_LY_10_C";
Rinku;Gulrang & Tocsin;https://www.altered.gg/decks/01KQTNSN79HJ4EZPFQSKHMP797;"Slow and steady
Try to stop your opponents from advancing
Axiom Signet works very well with all of the Permanents you have
Don't be afraid to take off a turn to draw cards with Conjuring Seal
Don't advance at all until Gulrang ability is active that way you can fully utilize Mesektet.
Try to have your opponent advance equally on the Tumult.
Has at least 1 card from each of Set 1-5";"1 ALT_CORE_B_OR_03_C
3 ALT_CORE_B_OR_16_R1
3 ALT_ALIZE_B_OR_34_C
3 ALT_BISE_B_OR_54_C
3 ALT_ALIZE_B_OR_43_R1
3 ALT_CORE_B_YZ_23_R2
3 ALT_BISE_B_OR_62_R1
2 ALT_DUSTER_B_OR_102_C
3 ALT_ALIZE_B_OR_45_C
3 ALT_BISE_B_OR_59_C
3 ALT_CORE_B_OR_24_C
2 ALT_BISE_B_OR_60_C
3 ALT_CYCLONE_B_AX_76_R2
3 ALT_CORE_B_OR_08_C
2 ALT_ALIZE_B_OR_44_C";
Luiginico;Isaree & Pebble;https://www.altered.gg/decks/01KQVYRYNJA0G0Y7J5S0Q9PQDZ;"The deck gets a lot of value for cheap and uses the hero's ability well.
None of the cards are hard to understand, all of them have sinergies with each other.";"1 ALT_CYCLONE_B_AX_65_C
3 ALT_CYCLONE_B_AX_66_R1
3 ALT_CYCLONE_B_AX_70_C
3 ALT_CYCLONE_B_AX_72_C
1 ALT_CYCLONE_B_AX_74_R1
1 ALT_CYCLONE_B_AX_75_C
3 ALT_BISE_B_AX_53_R1
3 ALT_BISE_B_AX_62_C
3 ALT_ALIZE_B_AX_41_C
3 ALT_ALIZE_B_AX_40_C
2 ALT_ALIZE_B_AX_42_C
3 ALT_CORE_B_AX_20_R1
2 ALT_CORE_B_AX_21_R1
3 ALT_CORE_B_AX_28_R1
3 ALT_CYCLONE_B_AX_80_C
3 ALT_CYCLONE_B_AX_77_C";
